student_number|course_code|course_marks
GRECAL000000002|DOC50005W|71
JASJOS000000003|DOC50005W|99
ELIMCL000000004|DOC50005W|50
CHAWID000000008|DOC50005W|38
CHAWID000000008|DOC50005W|59
LISMOR000000010|DOC50005W|41
NATTRA000000013|DOC50005W|70
NATTRA000000013|DOC50005W|70
CONGHE000000014|DOC50005W|28
ANNCAI000000018|DOC50005W|85
STERYA000000020|DOC50005W|26
WILWRI000000022|DOC50005W|26
TARRAM000000029|DOC50005W|8
MICVAR000000030|DOC50005W|55
ALBKAY000000031|DOC50005W|65
JENCAM000000034|DOC50005W|4
CHRBAC000000036|DOC50005W|85
AMABEL000000038|DOC50005W|99
BETRAI000000039|DOC50005W|47
