student_number|course_code|course_marks
RAFHUN000000000|KWS30013C|35
RAFHUN000000000|KWS30013C|43
JASJOS000000003|KWS30013C|57
ELIMCL000000004|KWS30013C|31
PAUPRO000000006|KWS30013C|6
NATTRA000000013|KWS30013C|77
CONGHE000000014|KWS30013C|55
BRIWAL000000015|KWS30013C|26
ANNCAI000000018|KWS30013C|5
BRUSTE000000019|KWS30013C|80
MICYOU000000023|KWS30013C|26
LOYPET000000024|KWS30013C|93
EDDSKA000000028|KWS30013C|16
TARRAM000000029|KWS30013C|69
TARRAM000000029|KWS30013C|85
MICVAR000000030|KWS30013C|65
ALBKAY000000031|KWS30013C|10
AMABEL000000038|KWS30013C|25
BETRAI000000039|KWS30013C|26
