student_number|first_name|last_name|sex|race|date_of_birth
RAFHUN000000000|Rafael|Hunter|female|other|1998-11-23
MARFLE000000001|Marnie|Fletcher|female|other|1996-06-07
GRECAL000000002|Gregory|Calvin|male|black|1999-02-12
JASJOS000000003|Jason|Jost|female|black|1995-09-05
ELIMCL000000004|Elizabeth|Mclaren|male|coloured|1995-05-01
MARVAW000000005|Maria|Vawter|male|coloured|1997-10-09
PAUPRO000000006|Paul|Prosser|male|white|1998-01-09
JUDVEG000000007|Judy|Vega|female|other|1997-09-10
CHAWID000000008|Charles|Widmer|male|coloured|1997-03-31
KIMSKI000000009|Kimberly|Skinner|female|white|1991-07-10
LISMOR000000010|Lisa|Morrison|male|white|1991-01-21
DANBOW000000011|Daniel|Bowl|female|white|1999-06-11
ROBHOW000000012|Roberta|Howk|female|white|1995-04-19
NATTRA000000013|Nathan|Tran|female|coloured|1996-11-14
CONGHE000000014|Connie|Ghent|female|white|1996-04-16
BRIWAL000000015|Brian|Walls|male|asian|1996-07-03
DANMEJ000000016|Danielle|Mejia|female|black|1997-04-01
VELCOO000000017|Velma|Cooper|male|other|1991-01-10
ANNCAI000000018|Ann|Cain|female|other|1994-08-31
BRUSTE000000019|Bruce|Stevens|female|coloured|1990-04-10
STERYA000000020|Steven|Ryan|female|white|1998-01-23
GERVAS000000021|Gerardo|Vasallo|female|white|1995-04-04
WILWRI000000022|Wilma|Wright|female|black|1994-02-09
MICYOU000000023|Michael|Youngdahl|female|black|1990-07-18
LOYPET000000024|Loyd|Peters|male|black|1996-07-12
PATJON000000025|Patsy|Jones|female|asian|1999-01-19
MARDEE000000026|Margaret|Deel|female|other|2000-07-13
JASROB000000027|Jason|Robinson|female|black|1994-12-02
EDDSKA000000028|Eddie|Skaggs|female|white|1996-10-10
TARRAM000000029|Tara|Ramos|female|other|1996-09-30
MICVAR000000030|Michael|Vargas|female|other|1998-12-09
ALBKAY000000031|Albert|Kaywood|male|black|1999-12-01
CARNOD000000032|Carl|Nodine|male|black|1991-04-30
SONWIL000000033|Sonya|Wilson|female|coloured|1992-08-25
JENCAM000000034|Jennifer|Camargo|female|coloured|1993-04-12
JUAHIN000000035|Juanita|Hinton|male|coloured|1992-01-24
CHRBAC000000036|Christine|Bachand|female|white|1998-01-06
KEVTER000000037|Kevin|Terry|male|coloured|1998-06-04
AMABEL000000038|Amanda|Belmont|male|white|1999-05-25
BETRAI000000039|Betty|Rainey|male|white|1993-07-05
